dataset_id,title,description,source,agency,category,tags,geographic_coverage,format,license,status,last_updated,created_date,frequency,coverage_start,coverage_end,record_count,file_size,url,data_type,api_required,api_key_required,auto_generated_description,quality_score,extraction_timestamp
d_89899f41c73fbf3457c2544c700a3869,MP14 SDCP PW PLAN - Park Connector Line (SHP),"Dataset containing information on sdcp, plan, park. provided by Urban Redevelopment Authority. covering Singapore.",data.gov.sg,Urban Redevelopment Authority,general,,Singapore,SHP,Singapore Open Data License,active,2024-06-06T14:46:41+08:00,2017-01-18T00:00:00+08:00,Unknown,,,0.0,Unknown,https://data.gov.sg/datasets/d_89899f41c73fbf3457c2544c700a3869/view,,,,True,1.0,2025-06-26T05:19:09.317291
d_642550222dea9b6eba88bd21bdaca1fa,Newspapers-Straits Echo-1903 to 1904,"This dataset is a list of digitised out-of-copyright newspaper articles from the National Library, Singapore. 

These materials present a valuable resource on Singapore’s history, art and culture, digitised as part of an endeavour to preserve and provide better access to resources located within the library to enable users to explore and discover these resources.

For enquiries, please email ref@nlb.gov.sg",data.gov.sg,National Library Board,general,,Singapore,CSV,Singapore Open Data License,active,2024-06-06T14:39:40+08:00,2024-03-19T11:44:21+08:00,Unknown,2024-03-01T00:00:00+08:00,2025-03-01T00:00:00+08:00,0.0,Unknown,https://data.gov.sg/datasets/d_642550222dea9b6eba88bd21bdaca1fa/view,,,,False,1.0,2025-06-26T05:19:09.317291
d_2c0cee49fae1ff6e3e8b30594ba52f0f,Average Monthly Household Expenditure Among Resident Households by Household Living Arrangement and Income Group (Household Expenditure Survey 2012/13),"Source: SINGAPORE DEPARTMENT OF STATISTICS

Data Last Updated: 29/07/2019

Update Frequency: 5 years

Survey period: Household Expenditure Survey 2012/13

Footnotes: Expenditure data exclude imputed rental of owner-occupied accommodation.

Adapted from: https://tablebuilder.singstat.gov.sg/table/CT/16408",data.gov.sg,Singapore Department of Statistics,general,,Singapore,CSV,Singapore Open Data License,active,2024-10-27T23:22:30+08:00,2024-10-27T22:32:44+08:00,Unknown,,,0.0,Unknown,https://data.gov.sg/datasets/d_2c0cee49fae1ff6e3e8b30594ba52f0f/view,,,,False,1.0,2025-06-26T05:19:09.317291
d_0fb1c8d8f8e4f7733e0486837e54a0c7,Assessable Income of Individuals,"* Number of Individuals Assessed includes tax clearance cases for non-citizens.
* Approved Donations refer to the total tax deductions granted in respect of qualifying donations. For the Year of Assessment (YA)2010 to YA2015 and YA2017 to YA2023, the amount of tax deduction granted is 2.5 times the amount of qualifying donation made. For YA2016, the amount of tax deduction granted is 3 times the amount of qualifying donation made.",data.gov.sg,Inland Revenue Authority of Singapore,general,,Singapore,CSV,Singapore Open Data License,active,2024-09-04T00:01:13+08:00,2016-08-17T16:09:01+08:00,Unknown,,,0.0,Unknown,https://data.gov.sg/datasets/d_0fb1c8d8f8e4f7733e0486837e54a0c7/view,,,,False,1.0,2025-06-26T05:19:09.317291
d_4061fb8858d333344a1cf1feb046ec29,Newspapers-Malaya Tribune-1924 to 1928,"This dataset is a list of digitised out-of-copyright newspaper articles from the National Library, Singapore. 

These materials present a valuable resource on Singapore’s history, art and culture, digitised as part of an endeavour to preserve and provide better access to resources located within the library to enable users to explore and discover these resources.

For enquiries, please email ref@nlb.gov.sg",data.gov.sg,National Library Board,general,,Singapore,CSV,Singapore Open Data License,active,2024-06-06T14:32:39+08:00,2022-09-27T11:54:08+08:00,Unknown,2024-03-01T00:00:00+08:00,2025-03-01T00:00:00+08:00,0.0,Unknown,https://data.gov.sg/datasets/d_4061fb8858d333344a1cf1feb046ec29/view,,,,False,1.0,2025-06-26T05:19:09.317291
d_f71b449b4b43a69b5ecfe411b440d249,SportsFields@SG,Dataset containing information on sportsfields. provided by Health Promotion Board. covering Singapore.,data.gov.sg,Health Promotion Board,general,,Singapore,GEOJSON,Singapore Open Data License,active,2024-06-06T15:08:48+08:00,2023-07-31T17:00:16+08:00,Unknown,,,0.0,Unknown,https://data.gov.sg/datasets/d_f71b449b4b43a69b5ecfe411b440d249/view,,,,True,0.9,2025-06-26T05:19:09.317291
d_b1cf00e204e35e07d4ec45abb91b8077,Newspapers-Sunday Standard-1950 to 1953,"This dataset is a list of digitised out-of-copyright newspaper articles from the National Library, Singapore. 

These materials present a valuable resource on Singapore’s history, art and culture, digitised as part of an endeavour to preserve and provide better access to resources located within the library to enable users to explore and discover these resources.

For enquiries, please email ref@nlb.gov.sg",data.gov.sg,National Library Board,general,,Singapore,CSV,Singapore Open Data License,active,2024-06-06T14:54:59+08:00,2022-09-27T11:25:11+08:00,Unknown,2024-03-01T00:00:00+08:00,2025-03-01T00:00:00+08:00,0.0,Unknown,https://data.gov.sg/datasets/d_b1cf00e204e35e07d4ec45abb91b8077/view,,,,False,1.0,2025-06-26T05:19:09.317291
d_66160334994304e9a21d42ae2e32a5c7,Newspapers-The Straits Echo (Mail Edition)-1927 to 1931,"This dataset is a list of digitised out-of-copyright newspaper articles from the National Library, Singapore. 

These materials present a valuable resource on Singapore’s history, art and culture, digitised as part of an endeavour to preserve and provide better access to resources located within the library to enable users to explore and discover these resources.

For enquiries, please email ref@nlb.gov.sg",data.gov.sg,National Library Board,general,,Singapore,CSV,Singapore Open Data License,active,2024-04-02T21:54:04+08:00,2024-03-19T10:13:41+08:00,Unknown,2024-03-01T00:00:00+08:00,2025-03-01T00:00:00+08:00,0.0,Unknown,https://data.gov.sg/datasets/d_66160334994304e9a21d42ae2e32a5c7/view,,,,False,1.0,2025-06-26T05:19:09.317291
d_894e84243d69d55c13b357dbad4e6350,"Number of Hawker Stalls Under Government Market and Hawker Centres, Annual","Dataset containing information on number, hawker, stalls. provided by National Environment Agency. covering Singapore.",data.gov.sg,National Environment Agency,general,,Singapore,CSV,Singapore Open Data License,active,2024-06-06T14:46:39+08:00,2016-10-04T01:17:40+08:00,Unknown,1989-01-01T08:00:00+08:00,2014-12-31T08:00:00+08:00,0.0,Unknown,https://data.gov.sg/datasets/d_894e84243d69d55c13b357dbad4e6350/view,,,,True,1.0,2025-06-26T05:19:09.317291
d_bdd2c54fa27bdce7643ed905b9e173ab,URA Sale Sites (KML),"Dataset containing information on ura, sale, sites. provided by Urban Redevelopment Authority. covering Singapore.",data.gov.sg,Urban Redevelopment Authority,general,,Singapore,KML,Singapore Open Data License,active,2024-06-06T14:57:34+08:00,2018-02-13T00:00:00+08:00,Unknown,,,0.0,Unknown,https://data.gov.sg/datasets/d_bdd2c54fa27bdce7643ed905b9e173ab/view,,,,True,0.9,2025-06-26T05:19:09.317291
