EVENT_ID,EVENT_TIME,PROCESSED_TIME,UPDATED_TIME,DEVICE_ID,SESSION_ID,VIEW_ID,EVENT_TYPE,EVENT_PROPERTIES,SOURCE_TYPE,SOURCE_PROPERTIES
2KmSiDdnP26_aMP3VbjoE50_8cs5rd4G3cv_kMItGranxyb,2023-10-08 17:03:25.696,2023-10-08 17:10:00.728,2023-10-08 18:06:34.052,2306299420707597830,9053922971110214822,6882972642116507555,click,"{
  ""target"": {
    ""raw_selector"": ""html body div#root div.App[data-component=\""App\""] div[data-component=\""SearchPage\""] div.gradient-background div button.filter-button[data-element=\""filter-button\""] div"",
    ""text"": ""Filters""
  }
}",web,"{
  ""entrypoint"": ""web client"",
  ""initial_referrer"": {},
  ""integration"": ""fs"",
  ""location"": {
    ""city"": ""Los Angeles"",
    ""country"": ""US"",
    ""lat_long"": ""34.0544,-118.2441"",
    ""region"": ""CA""
  },
  ""origin"": ""dom"",
  ""url"": {
    ""full_url"": ""https://www.cargorentalsfs.com/search"",
    ""host"": ""www.cargorentalsfs.com"",
    ""path"": ""/search""
  },
  ""user_agent"": {
    ""browser"": ""Safari"",
    ""browser_version"": ""87.0"",
    ""device"": ""Desktop"",
    ""operating_system"": ""Windows"",
    ""raw_user_agent"": ""Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Firefox/87.0 Safari/537.36""
  }
}"
2KmSiDdnP26_aMP3VbjoE50_8cs5rd4G3cv_kuUmD8u8JRh,2023-10-08 17:03:34.744,2023-10-08 17:10:00.728,2023-10-08 18:06:34.052,2306299420707597830,9053922971110214822,6882972642116507555,click,"{
  ""target"": {
    ""raw_selector"": ""html body div#root div.App[data-component=\""App\""] div[data-element=\""home-header\""] div div.search-bar[data-element=\""search-bar\""] div.search-button svg"",
    ""text"": "" ""
  }
}",web,"{
  ""entrypoint"": ""web client"",
  ""initial_referrer"": {},
  ""integration"": ""fs"",
  ""location"": {
    ""city"": ""Los Angeles"",
    ""country"": ""US"",
    ""lat_long"": ""34.0544,-118.2441"",
    ""region"": ""CA""
  },
  ""origin"": ""dom"",
  ""url"": {
    ""full_url"": ""https://www.cargorentalsfs.com/search"",
    ""host"": ""www.cargorentalsfs.com"",
    ""path"": ""/search""
  },
  ""user_agent"": {
    ""browser"": ""Safari"",
    ""browser_version"": ""87.0"",
    ""device"": ""Desktop"",
    ""operating_system"": ""Windows"",
    ""raw_user_agent"": ""Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Firefox/87.0 Safari/537.36""
  }
}"
2KmSiDdnP26_aMP3VbjoE50_5z6Et7RGzHK_kzNO5SY0IAA,2023-10-08 17:05:31.612,2023-10-08 17:09:56.598,2023-10-08 18:06:34.052,2306299420707597830,9053922971110214822,4671747418091737732,custom,"{
  ""event_name"": ""Checkout Success"",
  ""event_properties"": {
    ""car_id_real"": 149936,
    ""from_date_str"": ""2024-08-07T00:00:00.000Z"",
    ""price_real"": 1230,
    ""renter_id_real"": 423014,
    ""to_date_str"": ""2024-08-17T00:00:00.000Z""
  }
}",web,"{
  ""entrypoint"": ""event"",
  ""initial_referrer"": {},
  ""integration"": ""fs"",
  ""location"": {
    ""city"": ""Los Angeles"",
    ""country"": ""US"",
    ""lat_long"": ""34.0544,-118.2441"",
    ""region"": ""CA""
  },
  ""origin"": ""dom"",
  ""url"": {
    ""full_url"": ""https://www.cargorentalsfs.com/search/149936/checkout#review"",
    ""host"": ""www.cargorentalsfs.com"",
    ""path"": ""/search/149936/checkout""
  },
  ""user_agent"": {
    ""browser"": ""Safari"",
    ""browser_version"": ""87.0"",
    ""device"": ""Desktop"",
    ""operating_system"": ""Windows"",
    ""raw_user_agent"": ""Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Firefox/87.0 Safari/537.36""
  }
}"
2KmSiDdnP26_aMP3VbjoE50_8cs5rd4G3cv_fh8xZsCp0W3,2023-10-08 17:01:32.752,2023-10-08 17:10:00.728,2023-10-08 18:06:34.052,2306299420707597830,9053922971110214822,6882972642116507555,custom,"{
  ""event_name"": ""Experiment"",
  ""event_properties"": {
    ""campaign_id_int"": 997728,
    ""campaign_name_str"": ""Button Color"",
    ""variation_id_int"": 0,
    ""variation_name_str"": ""Original""
  }
}",web,"{
  ""entrypoint"": ""event"",
  ""initial_referrer"": {},
  ""integration"": ""ABTasty"",
  ""location"": {
    ""city"": ""Los Angeles"",
    ""country"": ""US"",
    ""lat_long"": ""34.0544,-118.2441"",
    ""region"": ""CA""
  },
  ""origin"": ""dom"",
  ""url"": {
    ""full_url"": ""https://www.cargorentalsfs.com/?org=o-1JAYTB-na1&env=prod&realm=na"",
    ""host"": ""www.cargorentalsfs.com"",
    ""path"": ""/"",
    ""query"": {
      ""env"": {
        ""values"": [
          ""prod""
        ]
      },
      ""org"": {
        ""values"": [
          ""o-1JAYTB-na1""
        ]
      },
      ""realm"": {
        ""values"": [
          ""na""
        ]
      }
    }
  },
  ""user_agent"": {
    ""browser"": ""Safari"",
    ""browser_version"": ""87.0"",
    ""device"": ""Desktop"",
    ""operating_system"": ""Windows"",
    ""raw_user_agent"": ""Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Firefox/87.0 Safari/537.36""
  }
}"
lVF6p6UuEG_259Vqg9xeEn_3ZLW0NTRqam_7RO5YLDXG8p,2023-10-08 17:50:28.050,2023-10-08 17:56:24.412,2023-10-08 18:06:34.052,296868953495584722,1748451449055974791,3354126661252686738,cumulative_layout_shift,"{
  ""cumulative_layout_shift"": 0.0016132821031826353
}",web,"{
  ""entrypoint"": ""web client"",
  ""initial_referrer"": {},
  ""integration"": ""fs"",
  ""location"": {
    ""city"": ""Las Vegas"",
    ""country"": ""US"",
    ""lat_long"": ""36.1685,-115.1164"",
    ""region"": ""NV""
  },
  ""origin"": ""dom"",
  ""url"": {
    ""full_url"": ""https://www.cargorentalsfs.com/?org=o-1JAYTB-na1&env=prod&realm=na"",
    ""host"": ""www.cargorentalsfs.com"",
    ""path"": ""/"",
    ""query"": {
      ""env"": {
        ""values"": [
          ""prod""
        ]
      },
      ""org"": {
        ""values"": [
          ""o-1JAYTB-na1""
        ]
      },
      ""realm"": {
        ""values"": [
          ""na""
        ]
      }
    }
  },
  ""user_agent"": {
    ""browser"": ""Safari"",
    ""browser_version"": ""87.0"",
    ""device"": ""Desktop"",
    ""operating_system"": ""Windows"",
    ""raw_user_agent"": ""Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Firefox/87.0 Safari/537.36""
  }
}"
2KmSiDdnP26_aMP3VbjoE50_8cs5rd4G3cv_ffRvmLB6zky,2023-10-08 17:02:52.346,2023-10-08 17:10:00.728,2023-10-08 18:06:34.052,2306299420707597830,9053922971110214822,6882972642116507555,click,"{
  ""target"": {
    ""raw_selector"": ""html body div#root div.App[data-component=\""App\""] div[data-component=\""SearchPage\""] div[data-component=\""FilterModal\""] div div div div.css-b62m3t-container div.css-1s2u09g-control div.css-1d8n9bt div.css-ackcql"",
    ""text"": "" ""
  }
}",web,"{
  ""entrypoint"": ""web client"",
  ""initial_referrer"": {},
  ""integration"": ""fs"",
  ""location"": {
    ""city"": ""Los Angeles"",
    ""country"": ""US"",
    ""lat_long"": ""34.0544,-118.2441"",
    ""region"": ""CA""
  },
  ""origin"": ""dom"",
  ""url"": {
    ""full_url"": ""https://www.cargorentalsfs.com/search"",
    ""host"": ""www.cargorentalsfs.com"",
    ""path"": ""/search""
  },
  ""user_agent"": {
    ""browser"": ""Safari"",
    ""browser_version"": ""87.0"",
    ""device"": ""Desktop"",
    ""operating_system"": ""Windows"",
    ""raw_user_agent"": ""Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Firefox/87.0 Safari/537.36""
  }
}"
2KmSiDdnP26_aMP3VbjoE50_5z6Et7RGzHK_imHvj3VSU47,2023-10-08 17:05:03.618,2023-10-08 17:09:56.598,2023-10-08 18:06:34.052,2306299420707597830,9053922971110214822,4671747418091737732,identify,"{
  ""user_id"": ""423014""
}",web,"{
  ""entrypoint"": ""setVars"",
  ""initial_referrer"": {},
  ""integration"": ""fs"",
  ""location"": {
    ""city"": ""Los Angeles"",
    ""country"": ""US"",
    ""lat_long"": ""34.0544,-118.2441"",
    ""region"": ""CA""
  },
  ""origin"": ""dom"",
  ""url"": {
    ""full_url"": ""https://www.cargorentalsfs.com/search/149936/checkout#login"",
    ""host"": ""www.cargorentalsfs.com"",
    ""path"": ""/search/149936/checkout""
  },
  ""user_agent"": {
    ""browser"": ""Safari"",
    ""browser_version"": ""87.0"",
    ""device"": ""Desktop"",
    ""operating_system"": ""Windows"",
    ""raw_user_agent"": ""Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Firefox/87.0 Safari/537.36""
  }
}"
lVF6p6UuEG_259Vqg9xeEn_3ZLW0NTRqam_6r30ZCcfx0Q,2023-10-08 17:50:19.962,2023-10-08 17:56:24.412,2023-10-08 18:06:34.052,296868953495584722,1748451449055974791,3354126661252686738,change,"{
  ""target"": {
    ""masked"": true,
    ""raw_selector"": ""html body div.MuiModal-root.css-8ndowl[role=\""presentation\""] div#login-modal.MuiBox-root.css-1gmwz4v div div div.MuiInput-root.MuiInput-underline.MuiInputBase-colorPrimary.MuiInputBase-root.css-1up7ebe[data-element=\""login-email-input\""] input#login-email-input.MuiInput-input.MuiInputBase-input.css-mnn31[type=\""text\""]"",
    ""text"": ""************************""
  }
}",web,"{
  ""entrypoint"": ""web client"",
  ""initial_referrer"": {},
  ""integration"": ""fs"",
  ""location"": {
    ""city"": ""Las Vegas"",
    ""country"": ""US"",
    ""lat_long"": ""36.1685,-115.1164"",
    ""region"": ""NV""
  },
  ""origin"": ""dom"",
  ""url"": {
    ""full_url"": ""https://www.cargorentalsfs.com/?org=o-1JAYTB-na1&env=prod&realm=na"",
    ""host"": ""www.cargorentalsfs.com"",
    ""path"": ""/"",
    ""query"": {
      ""env"": {
        ""values"": [
          ""prod""
        ]
      },
      ""org"": {
        ""values"": [
          ""o-1JAYTB-na1""
        ]
      },
      ""realm"": {
        ""values"": [
          ""na""
        ]
      }
    }
  },
  ""user_agent"": {
    ""browser"": ""Safari"",
    ""browser_version"": ""87.0"",
    ""device"": ""Desktop"",
    ""operating_system"": ""Windows"",
    ""raw_user_agent"": ""Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Firefox/87.0 Safari/537.36""
  }
}"
2KmSiDdnP26_aMP3VbjoE50_5z6Et7RGzHK_99sEGQmhFem,2023-10-08 17:04:46.148,2023-10-08 17:09:56.598,2023-10-08 18:06:34.052,2306299420707597830,9053922971110214822,4671747418091737732,navigate,{},web,"{
  ""entrypoint"": ""web client"",
  ""initial_referrer"": {},
  ""integration"": ""fs"",
  ""location"": {
    ""city"": ""Los Angeles"",
    ""country"": ""US"",
    ""lat_long"": ""34.0544,-118.2441"",
    ""region"": ""CA""
  },
  ""origin"": ""dom"",
  ""url"": {
    ""full_url"": ""https://www.cargorentalsfs.com/search/149936/checkout#login"",
    ""host"": ""www.cargorentalsfs.com"",
    ""path"": ""/search/149936/checkout""
  },
  ""user_agent"": {
    ""browser"": ""Safari"",
    ""browser_version"": ""87.0"",
    ""device"": ""Desktop"",
    ""operating_system"": ""Windows"",
    ""raw_user_agent"": ""Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Firefox/87.0 Safari/537.36""
  }
}"
2KmSiDdnP26_aMP3VbjoE50_8cs5rd4G3cv_6oOzK2Ra5Bg,2023-10-08 17:03:59.053,2023-10-08 17:10:00.728,2023-10-08 18:06:34.052,2306299420707597830,9053922971110214822,6882972642116507555,click,"{
  ""fs_dead_count"": 1,
  ""target"": {
    ""raw_selector"": ""html body div#root div.App[data-component=\""App\""] div[data-component=\""SearchPage\""] div.search-container div.car-container div div.car-item div"",
    ""text"": ""Ferrari   F430 Spider   2019""
  }
}",web,"{
  ""entrypoint"": ""web client"",
  ""initial_referrer"": {},
  ""integration"": ""fs"",
  ""location"": {
    ""city"": ""Los Angeles"",
    ""country"": ""US"",
    ""lat_long"": ""34.0544,-118.2441"",
    ""region"": ""CA""
  },
  ""origin"": ""dom"",
  ""url"": {
    ""full_url"": ""https://www.cargorentalsfs.com/search"",
    ""host"": ""www.cargorentalsfs.com"",
    ""path"": ""/search""
  },
  ""user_agent"": {
    ""browser"": ""Safari"",
    ""browser_version"": ""87.0"",
    ""device"": ""Desktop"",
    ""operating_system"": ""Windows"",
    ""raw_user_agent"": ""Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Firefox/87.0 Safari/537.36""
  }
}"
